epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,224.4,2.22302,3.76163,1.92688,0.53461,0.1119,0.07876,0.03039,2.30134,3.29726,2.02188,0.000368353,0.000368353,0.000368353
2,439.007,2.14197,2.97391,1.85749,0.29698,0.10648,0.05675,0.02233,2.40559,5.44807,2.27365,0.000709434,0.000709434,0.000709434
3,641.984,2.14915,2.77228,1.87554,0.28772,0.18944,0.07306,0.02796,2.28304,3.74389,2.00234,0.00102119,0.00102119,0.00102119
4,842.096,2.11549,2.64115,1.86534,0.44072,0.20621,0.16933,0.06968,2.21613,3.07891,2.05752,0.000979013,0.000979013,0.000979013
5,1041.96,2.04736,2.45524,1.80565,0.39901,0.22658,0.17322,0.07401,2.20226,2.67614,1.97625,0.000935018,0.000935018,0.000935018
6,1242.47,1.99649,2.30711,1.7579,0.44022,0.245,0.20656,0.08814,2.06853,2.43677,1.8982,0.000891022,0.000891022,0.000891022
7,1444.61,1.95688,2.19896,1.72436,0.38123,0.31035,0.27934,0.12589,2.03474,2.26011,1.79312,0.000847026,0.000847026,0.000847026
8,1641.75,1.91677,2.07581,1.68701,0.39945,0.36934,0.32176,0.15739,1.96763,2.11155,1.83161,0.000803031,0.000803031,0.000803031
9,1841.54,1.89421,2.01405,1.66461,0.45175,0.38176,0.36621,0.17411,1.96159,2.04133,1.73694,0.000759035,0.000759035,0.000759035
10,2041.1,1.86759,1.94617,1.64939,0.57561,0.43966,0.43055,0.21625,1.89641,1.92119,1.70567,0.00071504,0.00071504,0.00071504
11,2238.47,1.84191,1.88806,1.61783,0.44348,0.31657,0.3239,0.14468,1.92741,2.06522,1.69166,0.000671044,0.000671044,0.000671044
12,2439.27,1.81713,1.83985,1.60182,0.67175,0.43354,0.47723,0.25082,1.84691,1.79294,1.66669,0.000627048,0.000627048,0.000627048
13,2645.39,1.80409,1.78303,1.59155,0.69072,0.45615,0.49585,0.26305,1.79551,1.7233,1.62881,0.000583053,0.000583053,0.000583053
14,2845.61,1.78412,1.7275,1.5675,0.65109,0.48601,0.51149,0.24335,1.80617,1.63461,1.59935,0.000539057,0.000539057,0.000539057
15,3044.57,1.75636,1.69001,1.55032,0.62367,0.52156,0.53826,0.27771,1.79835,1.57119,1.62582,0.000495062,0.000495062,0.000495062
16,3241.37,1.73175,1.54146,1.58099,0.61729,0.47711,0.51125,0.26467,1.77399,1.55398,1.60122,0.000451066,0.000451066,0.000451066
17,3428.06,1.69875,1.45601,1.55775,0.65781,0.52912,0.56178,0.29295,1.73513,1.5245,1.57754,0.00040707,0.00040707,0.00040707
18,3613.27,1.67079,1.40141,1.53705,0.63153,0.52989,0.56108,0.29559,1.72891,1.45877,1.57272,0.000363075,0.000363075,0.000363075
19,3801.72,1.6472,1.35389,1.51457,0.68691,0.52354,0.58562,0.29913,1.70015,1.4087,1.55111,0.000319079,0.000319079,0.000319079
20,3987.54,1.61789,1.30709,1.49772,0.67107,0.56554,0.59201,0.3206,1.70112,1.39501,1.54019,0.000275084,0.000275084,0.000275084
21,4176.66,1.59734,1.26567,1.47264,0.6303,0.6128,0.60287,0.32277,1.67333,1.34666,1.5233,0.000231088,0.000231088,0.000231088
22,4369.52,1.57626,1.23,1.45712,0.67317,0.55115,0.57637,0.31591,1.67974,1.31613,1.54152,0.000187092,0.000187092,0.000187092
23,4556.56,1.54953,1.17986,1.44333,0.67521,0.61537,0.60382,0.3178,1.67879,1.29273,1.5357,0.000143097,0.000143097,0.000143097
24,4742.64,1.53198,1.15193,1.4292,0.6463,0.61089,0.62036,0.33243,1.66468,1.27717,1.51771,9.91012e-05,9.91012e-05,9.91012e-05
25,4931.95,1.51322,1.13203,1.41558,0.66972,0.65487,0.64509,0.34817,1.6619,1.25059,1.51979,5.51056e-05,5.51056e-05,5.51056e-05
