epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,344.417,2.0619,6.3124,0.01641,0.67308,0.04335,0.03571,0.01379,1.94432,3.4331,0.01759,0.00994975,0.00331658,0.00994975,0.00331658,0.00994975,0.00331658,0.00994975,0.00331658
2,661.008,1.90629,3.79126,0.01476,0.5333,0.09305,0.07904,0.03206,2.04154,3.36454,0.01908,0.0197522,0.00658408,0.0197522,0.00658408,0.0197522,0.00658408,0.0197522,0.00658408
3,945.68,2.01555,3.21377,0.01611,0.3165,0.10497,0.04132,0.01845,2.31405,4.57688,0.02333,0.0293567,0.00978558,0.0293567,0.00978558,0.0293567,0.00978558,0.0293567,0.00978558
4,1234.33,2.11193,3.1675,0.0172,0.46701,0.15888,0.13408,0.05789,2.2118,3.51877,0.02229,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703
5,1518.72,2.07605,2.92641,0.01685,0.57519,0.21967,0.15644,0.06622,2.16753,3.2168,0.02101,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604
6,1808.52,2.04309,2.75796,0.01641,0.29177,0.29304,0.20647,0.08295,2.06494,2.73894,0.01981,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505
7,2092.87,2.0053,2.59844,0.0161,0.6126,0.35284,0.36457,0.16803,2.07227,2.37399,0.01941,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
8,2373.88,1.98963,2.49511,0.0159,0.39368,0.34732,0.3137,0.13682,2.12032,2.4152,0.0203,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307
9,2660.32,1.96806,2.38662,0.01576,0.44476,0.37637,0.35361,0.15533,2.04727,2.25089,0.01932,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208
10,2944.34,1.95211,2.35058,0.01571,0.54763,0.42275,0.38431,0.18766,1.94567,2.27671,0.01802,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109
11,3232.77,1.93494,2.25742,0.01524,0.57624,0.43324,0.46894,0.22262,1.88302,2.07423,0.01753,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
12,3530.03,1.928,2.19213,0.01515,0.55255,0.41327,0.43193,0.21462,1.9863,1.98827,0.01845,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911
13,3825.7,1.91653,2.12609,0.01498,0.5583,0.46325,0.46138,0.22122,1.92909,1.87727,0.01778,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812
14,4115.78,1.90985,2.07003,0.01503,0.59035,0.50431,0.53213,0.25355,1.89103,1.82079,0.01734,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713
15,4408.4,1.89989,2.02357,0.01474,0.64545,0.52509,0.50876,0.25867,1.93525,1.75403,0.01803,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614
16,4700,1.88731,1.97729,0.01466,0.4656,0.36157,0.34836,0.16776,1.96885,2.00636,0.01815,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515
17,4988.56,1.87056,1.93878,0.01453,0.60714,0.4877,0.52077,0.2598,1.89517,1.86036,0.0175,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416
